passengerCount,tripTimeHr,distanceDriven,Fare,Tolls,TotalFare,Trips,pickup
3267,463.817204,8490.28998731077,31225.4899997711,673.00999879837,35893.0701050758,2137,BK25
3085,459.957036,9305.9599917233,32514.8500018306,823.88999581337,38029.4901147075,1879,BK28
13159,1812.318353,39317.430014994,135026.090007782,4541.99997782707,159060.380481243,7659,BK31
704730,104553.565354,1687521.63023274,6288425.03000388,130061.269168651,7513594.98665819,405067,BK33
2310190,285539.057221,4406371.62996769,17268083.6000004,33975.2597423252,20566836.8107562,1315281,BK73
6723,887.351194,12894.9299962036,52129.5,139.969999313354,61854.7400083542,4012,BK89
437961,50529.878615,817422.640008166,3209633.86001217,8490.64993603714,3844037.54223646,251232,BK90
23707,3550.594559,53320.8500128482,207051,1513.89998802543,240694.110137463,13283,BK92
7906,1079.502673,17784.5399897452,68264.1600017548,1341.42999172211,77843.3801794052,4647,BX14
7219,835.347346,13250.1100100502,51595.0299999993,728.039996385574,58387.2200773042,3941,BX34
1372,197.014934,4205.7200038936,16414.5,266.709998846054,18659.6400408745,846,BX43
1700,219.837055,3734.27000169083,14144.5099999998,212.939998626709,16273.400044689,1102,BX75
6277654,1574516.058061,34676992.176052,109581171.66025,12173065.1697151,139732952.5659,3587575,LGA
14975772,1872534.513981,24286598.4862074,105032546.450029,614793.407539958,125290857.550726,8670712,MN24
17027,5575.324655,126614.430020107,472847.980007896,36441.8397669792,562074.218267689,9451,QN01
16413,5528.075847,132841.460040523,448447.010007858,28275.9098653793,526683.66656065,9404,QN03
10375,1401.543122,22696.7199981604,87741.0500000007,854.519992828369,101405.270111848,6188,QN20
17526,2556.505342,49599.7700055223,184117.2000103,5360.05996640585,212163.920892239,11555,QN22
1700,290.691724,7034.96998623945,24309.25,1416.1299905777,29168.9601531029,1229,QN43
21524,5681.131623,131430.419997569,504010.690009117,35350.4397894293,596333.298160553,12302,QN61
8057,1391.484763,26230.4999935366,152221.170008201,10628.5999393463,182658.48230936,4761,QN96
32,5.316098,85.4399998784065,341,10.3299999237061,414.610000610352,25,QN98
1993,318.945052,7223.36999852955,24127,465.949998855591,27385.3500466347,1264,BK19
705,92.927599,2013.22998953611,7098.5,102.770000457764,8328.0400147438,423,BK26
2135,301.717812,5922.81998944841,21080.8300018311,736.459995031357,24821.8701004982,1294,BK30
4900,684.929771,11737.4900023378,43205.5099999998,842.679994106293,49934.9800496101,2735,BK34
2411,451.574601,8572.78001176007,30703.6999969482,643.979997634888,35414.9101042748,1673,BK50
151510,21174.442824,319645.800041163,1256459.91000089,1457.13999110833,1485314.37041622,88624,BK64
368832,45389.676804,750677.650022471,2862984.6899966,23366.3197974879,3434734.22213304,219478,BK76
1849,313.327565,4853.82999232225,18651.5,136.989998817444,21429.0800261498,1212,BK91
586,88.762062,2087.72999730706,7687,194.459998607635,9000.47001934052,390,BX10
1382,194.636874,3399.20000062324,12972.4399986267,247.619998931885,14700.19003582,878,BX17
570,87.368762,1946.69999284856,6542.5,221.019998550415,7618.1700053215,322,BX31
1090,140.822775,2385.65999746695,9182.5,116.709999084473,10366.9900188446,690,BX33
1208,172.511942,3600.56000264362,12571,347.709998607636,14240.3800396919,719,BX49
23087,3773.360562,74966.1500189509,382287.590004871,33291.5497807544,472783.285544395,13295,MN98
1811,265.339274,5652.48999721743,20490.0099999998,581.909998893738,23860.4800784681,1124,QN06
1219,184.913318,3903.64999203943,13865.8300018311,291.989998340607,16065.3200306892,757,QN46
4157,686.588995,13261.3399920575,49557.0900014509,1498.47999072075,56624.8802860845,2565,QN53
7808,1161.117545,25529.4499984048,107243.3800111,4401.12997102737,125631.280991573,4842,QN54
14233,2062.208313,47318.9000193812,187599.319996834,7618.3699555397,218195.82170105,8637,QN60
1196,181.115242,3304.38000500947,12292,294.8899974823,14165.4700312614,786,QN97
89,29.826092,722.029997318983,2223,78.8899993896484,2593.6800069809,52,QN99
2216,347.796641,6386.99999492243,23487.1500022896,582.289995707572,27303.7700250633,1450,BK29
33624,5142.170279,92290.7400054093,332632.029999999,7861.04994069785,393265.750656605,20041,BK32
179445,22945.873723,357445.419970486,1391671.8499999,2018.94998814538,1643786.62069416,105263,BK69
45218,5213.745703,77883.5899881311,318109.270000458,616.509997367859,374482.760234356,25865,BK72
1750,386.104793,6645.49000510573,26002.5999984741,403.189998865128,29685.2700705528,1193,BK83
827,129.293127,2050.19000286236,8224.5,51.710000038147,9333.40001440048,537,BK85
8357,1460.376526,21036.3400030043,84712.5,1326.21999621391,99443.7801160812,6494,BK88
5013,802.861273,12894.4000011496,48752.5999984741,347.499997138977,54791.6000423431,3143,BK95
1445,225.941617,4229.33999096975,14918.5,352.159996986389,17231.8900456429,805,BX06
764,123.565658,3115.46000500396,11787.370010376,268.540001392365,13137.4400434494,461,BX13
1009,152.184477,3014.65000630729,11035.4900016785,194.229999065399,12278.5100421906,634,BX44
1826,263.611480,5089.75999551825,18182.5,394.359997749329,20730.1300640106,1152,BX46
9117,869.422647,13652.2699846625,54584.5,1156.51000189781,63658.0201430321,4070,BX59
11254,1528.107100,38085.6400009599,242259.830066718,3016.41999153048,275575.930470504,7592,LI
254233,31329.980555,510438.370027276,1987213.22000289,32809.5598409846,2336266.9637177,147841,MN06
7775996,1154147.528049,18648020.4607221,70589012.9100256,835218.185194524,83214879.4066246,4470542,MN25
5681263,677185.671212,9656754.62862034,39952524.9500324,108182.109524744,47433523.0160586,3226281,MN27
1107,210.975551,4790.90000552312,16210.5,735.34999370575,18958.3900914192,705,QN02
250,44.642707,879.11999925971,3253.5,97.3799996376038,3710.30000162125,163,QN10
6100,948.090779,19354.3999918252,87866.0600013733,4699.80997061729,103935.610999107,3693,QN21
1962,311.313950,5860.50000534207,20915,815.529995918274,24469.9201426506,1235,QN23
624,97.164550,2379.00999868661,9668.92999816872,156.719999313354,10903.4400112722,420,QN42
3673,525.919060,11054.3399984203,40837.9500000477,1135.33999181725,47419.870221138,2364,QN62
43329,15168.783601,341986.330033224,1201336.48002481,91439.8994309902,1427482.8815155,23917,QN76
39009,7974.581550,192780.80002863,817347.97002781,58496.6096097119,979585.382657189,21764,QN95
542811,83446.349927,1332928.38025359,5012964.99000169,10011.9999291338,5858840.83285118,315877,BK09
1248,193.302205,3461.77000935003,12435,217.719998121262,14207.4300346375,747,BK44
3733,598.177961,9740.79999805614,37451,1165.06999123096,44618.2401428223,2825,BK46
394163,54191.205026,860058.12003497,3308642.26999689,4887.01997338422,3866361.53208328,231838,BK68
5027,953.512516,18220.2499924377,68054.6800010204,1271.96999382973,77583.6202642918,3390,BK82
2027,353.777182,5586.55000019819,21605,317.019997596741,24769.7800559998,1459,BK96
821,111.732050,2214.30000315234,7537,120.309999227524,8499.94001102448,450,BX07
2343,321.610532,6541.97998532467,23827.8000001907,553.859996795654,27372.9300742149,1452,BX09
1745,234.300135,5388.65999990143,18570.2700004578,755.89001250267,22009.8299679756,1055,BX22
1742,250.577892,4816.0299999807,17849.3400018308,281.869999170303,20154.1400468443,1108,BX28
1915,264.231728,5062.55000108294,19212.1500000954,269.839997291565,21649.6200590134,1249,BX30
5231,669.633439,10787.2400124334,43217.5400016401,760.570002555847,50033.0600731466,3298,BX41
4853339,1655521.954914,42997737.9115965,124237299.620463,6934659.66381983,144949280.403285,2708571,JFK
2824141,348181.128751,5010447.24960699,20612746.8599993,324274.408261472,24550837.1360515,1639525,MN09
13952898,1507576.677473,19838399.8241568,87617981.0100244,1007398.70453908,104285377.132799,8179230,MN12
11512696,1302622.171943,15546597.5941211,71962851.2200213,663345.966487497,85835694.4540873,6778535,MN14
13638899,1462662.794048,18364599.4358364,84747333.1399397,1598570.48022152,102667736.740682,8053645,MN20
50316,7089.311894,142605.290064476,498351.600006104,8410.5699660778,580351.72128582,29185,MN35
20482285,2199615.364839,24467735.2860217,119999494.260036,824590.055241954,142264880.827553,12141275,MN40
1240976,137916.773783,1876226.91925598,8172363.78999649,102911.409313938,9827605.02579843,741514,MN50
92281,11428.892715,219871.299994808,1701454.98015464,72131.2899515014,2013059.34231043,63481,NJ
5451,691.372148,22173.5399998985,165013.690056324,2784.20999181271,188519.910353661,3532,NYS
8138,1045.234350,18566.1299973484,70562.1900024414,1862.30998897552,80181.480257988,5094,QN26
998918,146381.932491,2252221.24991166,9410256.70001024,282062.988241678,11050440.8988046,597887,QN31
2827,382.860724,8489.78001773916,31630.25,838.469994544983,36406.4801216125,1660,QN38
330,63.134890,1291.07000296004,4281,159.509999275208,4942.32002925873,234,QN66
716828,90960.202676,1505572.29010672,5716823.67999733,76439.3895137645,6636362.38485491,424017,QN70
256748,34388.193527,649502.1400757,2433884.8800102,167542.879012194,2972694.31734974,154549,QN72
4761,753.326212,13259.0300096832,53861.2800033577,2020.4199924469,63926.8501980789,3415,SI00
418,73.522105,1541.12000141665,5366,145.889998435974,6192.03002023697,278,BK23
15838,2197.126035,40415.8599924296,144090.93999958,5132.05995798111,173551.900644302,9005,BK40
5710,778.412360,13848.5300041027,50465.3300018311,1484.91999006271,59051.0402030945,3275,BK43
66263,8612.336094,132634.729997627,511123.999999046,1623.5399851799,608100.930479527,37549,BK77
859,103.961197,1563.36999931559,6333,61.0199995040894,7618.59001016617,499,BK97
1896,251.760909,4529.68998981081,16598.5499992371,272.329998254776,18779.6100611687,1189,BX05
4598,658.415850,11646.2600017805,47451.0999984741,990.109995365143,54674.1901350021,2856,BX26
5496,657.825193,11319.3799960837,44456.1199989319,787.140000343323,51299.610057354,3250,BX36
2059,328.375312,5800.06999516115,21443.3299999237,638.789998054504,24946.9100756645,1364,BX37
308,52.271297,812.019998960197,3187,147.459999084473,3925.0300078392,226,BX98
521,45.397615,2829.19999363832,40367.9800100327,331.139998683706,44960.3000087738,363,CT
264921,32027.397807,516665.950087598,2013041.42000757,39054.5797215886,2356604.14331783,154453,MN03
49101376,5841715.314590,69541924.1208469,321332074.560202,5705311.72871314,383394133.422802,28479252,MN17
10042619,1123431.686744,15029895.237557,65062856.2699733,418309.557404697,78268959.2461109,5790229,MN22
22957,3530.372134,56047.4200294223,209327.100000381,1304.05999135971,241196.110227108,13706,MN30
89809,12864.306895,245105.130033441,893996.380004883,39570.7997970581,1049194.29613638,54816,QN17
86352,11374.179784,203092.129973987,789352.040007705,25796.2998600006,905041.833508492,51568,QN29
897,175.611739,4110.94999939576,14259.75,437.099996566772,16121.3700780869,512,QN33
1350,226.464642,5626.62998859957,18792.8000001907,477.999995231628,21246.9500865936,911,QN34
1244,207.822193,5156.10000317171,21060.1300027464,886.719994544983,24494.1301281545,755,QN49
50770,6376.189850,112775.589998465,428538.760000477,12249.6699342728,491858.57093502,29118,QN50
1963,416.632605,9872.9200073313,38220.0700030513,1265.3499879837,43881.1602950096,1149,QN57
1509,224.905504,5154.03999535553,17061.5099999998,505.399996757507,20577.3200414274,856,BK27
36441,4696.852069,68716.6499674357,275516.319997787,532.379995495081,322837.930089474,21374,BK35
2791,423.731527,7267.62000479549,27103.2999992371,342.769998559728,30765.30001688,1735,BK58
16198,2384.605027,37149.5099872742,142694.200000763,305.419997349381,166578.690063,9785,BK63
118815,14070.204311,220143.999914622,860678.650003681,1598.41998762824,1013714.6905582,69227,BK75
2472,337.572162,6259.51001228765,24217.3600025177,523.009998321533,27961.1900348663,1499,BX27
1223,168.188302,2858.89000099897,11090,148.979999542236,12507.5800180435,786,BX40
1454,231.860158,5784.91000288911,24869.2800042722,851.119996089488,28947.7000775337,974,BX52
20953,3008.331014,50101.669989489,192600.180000076,4212.56996774673,220651.620434055,12499,BX63
26343635,2977287.671077,35337783.7300558,164557366.670085,1897893.34003497,198991420.727265,15435183,MN13
19934999,2261821.090945,28315852.0936203,128957702.199989,2167333.65683212,155353463.004915,11770847,MN19
7742079,840828.598440,10172782.5780627,47401533.6100116,598627.166311476,57533160.3373668,4552659,MN21
2000063,241864.239019,3395214.72960073,14228671.190002,56814.3996605128,16890207.753345,1156976,MN28
2292749,262813.666660,3685550.56960204,15530680.9100113,210958.168699499,18296365.4229457,1358635,MN33
1000735,112120.535232,1782291.42976336,7059280.14000649,166033.998857601,8314461.00032134,589920,MN34
587,59.528233,1176.18000653572,4031.00999999978,130.630001068115,4826.26999521255,255,QN07
178,30.345796,659.1499995552,2174,88.3399994373322,2484.60001754761,99,QN12
7593,1263.889911,26237.8999949545,121182.930002937,7665.389960289,143734.101490268,4442,QN25
13310,2112.621879,41895.5499936286,217478.780011673,13129.1399231143,257834.812905559,7981,QN30
4645,561.459758,11128.3699946478,42355.6300010681,1109.12999248505,48798.8801827431,2757,QN37
796,116.892282,2726.52000135183,10437.0800018311,254.659998893738,12206.6300325394,537,QN41
701,118.896487,2968.8699969817,12544.25,365.53000164032,14304.1701288223,448,QN45
344311,46346.388182,718663.430014512,2819995.84000542,16129.8699305579,3229883.17214348,208646,QN68
2254,344.315780,7252.73999944888,25924.8600006104,427.26999832131,29719.3400754929,1462,BK17
1250802,172663.447784,2858939.08997826,10783277.640004,24576.4898786172,12651444.0864745,734965,BK38
16588,2507.985295,49374.8299850579,171369.76,7687.15994577482,205636.250802765,9953,BK41
27043,4064.735066,73697.8400038406,263995.150005111,6611.67995476723,309537.980809936,16108,BK42
34565,5570.987560,88474.5300217886,334848.119995806,1476.61999416351,381377.750268672,20982,BK60
177692,21954.906764,334982.939949956,1319018.75999714,2575.49997735955,1563462.1409278,101613,BK78
4471,700.241904,11294.9499968961,44141,298.819999016821,50602.0800709724,2898,BK79
147,26.815511,672.620002143085,2552.6099999994,107.39999961853,2970.53002357483,106,BK99
432,60.615452,1354.38000026159,4646.5,107.299999237061,5414.06001853943,253,BX03
4925,658.976346,13801.7299906947,48782.4500007629,1262.75001003221,56225.3300714493,2939,BX29
3037,373.835993,5579.92999870144,22492.5099999998,220.109998703003,25226.6400258634,1743,BX35
877,113.332279,2657.42999697477,9336.50999999978,154.75,10767.2100279424,562,BX62
2859,423.570745,8906.78001200035,33734.9000015259,723.689994812012,38646.5401377678,1665,BX99
6683,674.103461,24422.2600130644,286238.290023396,10708.2099922597,335097.140148461,4835,EWR
273968,39904.823220,670286.220162805,2513460.40999771,45714.2597195003,2939688.56631089,161853,MN04
11904384,1386353.311971,17752776.6875868,78931850.2700229,1046736.89434225,93876721.9414289,6913294,MN15
11946045,1331890.375996,16850207.8074128,76218612.1000389,639727.755940033,90415345.4883481,7134984,MN31
8308939,927479.869908,13008192.8396381,55342048.6700149,729645.095211074,65914027.7192423,4931744,MN32
814,151.872289,3341.17000277527,11010.5600013733,623.689995765686,13198.4200429916,511,QN08
188,31.199966,687.50999557972,2423.5,60.2199993133545,2682.57001447678,94,QN15
35892,5537.085277,110732.250001818,425147.709997177,20497.5798958316,497170.573053837,22326,QN18
2908,389.738812,6981.25999239832,27560,727.469995498657,31792.9001731873,1649,QN19
136347,17919.536918,332355.900065523,1227753.95999975,48701.039739646,1428267.17485876,80322,QN28
19400,3743.352938,88394.589988729,344988.550005702,22737.2198553458,406719.075326232,10251,QN35
643,82.900943,1739.65000017732,7176.44999980927,129.199998855591,8142.26002693176,405,QN44
2102,259.661174,5272.53999746591,18807.5099999998,544.289998054504,21899.5800597761,1217,QN51
2339,488.900514,9300.26001313701,37595.25,1798.14998579957,44045.940392971,1489,QN56
624,134.798466,2971.09000102617,9999,253.189997673035,11484.0000267029,362,BK21
740019,102292.521346,1604678.99006405,6184925.0699995,41491.1196557693,7340143.02446132,429157,BK37
1064,178.994728,3933.22999692708,13509.7299957275,302.769998073578,15597.6000518799,668,BK45
79764,11194.756634,178493.210001368,682791.630001068,1365.71999219805,802044.320493221,47263,BK61
1891,314.565052,4845.37999097072,18898.8299999237,115.859998703003,21628.1100273132,1243,BK81
272,46.816332,1015.91999974847,3452.5,73.8199996948242,3891.2000246048,153,BK93
483,90.062665,2223.2699925676,8199,256.98999786377,9622.8400478363,285,BK98
1887,259.811193,4455.72999717668,17088.5,345.36999797821,19526.4000582695,1190,BX01
1694,237.065127,3968.79999728315,15367.7599999998,257.869998931885,17788.0600388143,1062,BX08
38533,5040.359737,87836.409989085,335265.850005398,7986.7799380105,386035.52059103,23747,BX39
1862,252.897323,4935.30999506637,17676,522.23999786377,20348.1000576019,1159,BX55
22008,3131.743575,67515.3499907926,229505.61000061,3708.0599822998,264334.920514107,12953,MN01
889869,103724.686591,1573193.39018429,6312510.77000357,123144.799207645,7503554.81185056,505971,MN11
20848975,2393045.828622,29376879.1431738,132836305.810013,948306.505158855,159760401.371885,12151068,MN23
284035,45080.136574,846254.630168563,2997521.11000183,58949.699742429,3520778.50867679,166666,MN36
214716,22017.755187,274588.029960824,1242492.44999935,17469.9699115455,1478479.86301877,112856,MN99
1082,231.356961,5465.9200058151,21262.8600022886,709.919995307922,24308.7101385687,670,QN05
63188,12809.463994,293814.300041545,995966.400031585,79940.6895552259,1221656.12019064,36276,QN27
410,57.999626,1386.4200020805,5177.25999999978,110.459999084473,5924.01001144387,235,QN47
700,89.339809,1980.86000281572,7074,122.469999313354,8099.85001182556,439,QN48
683,110.762607,2022.53000351787,7278,272.519998550415,8478.04004144669,442,QN52
11764,2495.734941,56219.9500018936,246114.06001831,11243.3999342918,288436.892377377,7204,QN55
188378,25377.719227,405356.240048576,1576299.87000992,35764.1298129912,1794322.61245253,110898,QN63
219925,31630.526850,514705.840127882,1937109.02999855,31272.4997835159,2256921.37154366,134142,QN71
